iter	Logloss
0	0.4018383975
1	0.2434512403
2	0.1497035517
3	0.09063586868
4	0.05361419146
5	0.03573191379
6	0.02509230932
7	0.01726002953
8	0.01159202324
9	0.009252658549
10	0.007571528993
11	0.006665837432
12	0.005424777691
13	0.00476766945
14	0.00427262039
15	0.003994265847
16	0.003721267429
17	0.003648505171
18	0.003460709572
19	0.003282469048
20	0.003213490738
21	0.003097041772
22	0.003003998478
23	0.002938369012
24	0.002881314551
25	0.002819349081
26	0.002792307406
27	0.00276299561
28	0.002750623779
29	0.002730460673
30	0.002685501077
31	0.002670882969
32	0.002650441635
33	0.002609484431
34	0.002609477726
35	0.002596861853
36	0.002580895936
37	0.002573565365
38	0.002554362174
39	0.002529403202
40	0.002529395597
41	0.002516030747
42	0.002504093578
43	0.002504089075
44	0.002480824658
45	0.002467457275
46	0.002460188201
47	0.002443659531
48	0.002428904408
49	0.002428904408
50	0.002422570505
51	0.002406734458
52	0.002398537792
53	0.002389561587
54	0.002379594698
55	0.002370693598
56	0.002347105405
57	0.002336095235
58	0.002324230038
59	0.002311768377
60	0.002301775986
61	0.002286613639
62	0.002281846485
63	0.00228183566
64	0.002266922318
65	0.00226691396
66	0.002266909693
67	0.002242725563
68	0.002235542613
69	0.002225498736
70	0.002225489019
71	0.002225447112
72	0.002208433833
73	0.002189690726
74	0.00216893062
75	0.002157315573
76	0.002157315573
77	0.002148339768
78	0.002148327536
79	0.002139205176
80	0.002128069966
81	0.002128064597
82	0.002128051978
83	0.002128051978
84	0.002118975961
85	0.002111160278
86	0.002111154422
87	0.002098052342
88	0.002098052342
89	0.002098041119
90	0.002082266604
91	0.002070940917
92	0.002070929674
93	0.002056692603
94	0.002056692603
95	0.002056674655
96	0.002047946523
97	0.002047940206
98	0.002047938674
99	0.002047929978
100	0.002047929978
101	0.002035064466
102	0.00203503657
103	0.002024094951
104	0.002024079849
105	0.002010777823
106	0.002010767858
107	0.002010767858
108	0.001992787478
109	0.001983620076
110	0.001983620076
111	0.001983618705
112	0.001983601007
113	0.001973298513
114	0.001973298513
115	0.001959446877
116	0.001959444201
117	0.001959444201
118	0.001959444201
119	0.001959432338
120	0.001959413895
121	0.001959413895
122	0.001959407763
123	0.001959402545
124	0.001959388742
125	0.001959387736
126	0.001951779744
127	0.001951773566
128	0.001951772389
129	0.001951766665
130	0.001951765914
131	0.001951740295
132	0.001943358085
133	0.001943350641
134	0.001943346633
135	0.001943336696
136	0.001943336696
137	0.001943328093
138	0.001943321677
139	0.001943321677
140	0.001943311331
141	0.001943309132
142	0.001943302379
143	0.001943302379
144	0.00194330187
145	0.001943292037
146	0.001943287242
147	0.001943271892
148	0.001943258998
149	0.001943240287
150	0.001943228574
151	0.001943225138
152	0.001943224262
153	0.001943216601
154	0.001943215695
155	0.001943206895
156	0.001943185988
157	0.001943179137
158	0.00194317712
159	0.001943161787
160	0.00194315822
161	0.001943156068
162	0.001943052256
163	0.001943042395
164	0.001943039671
165	0.001943038208
166	0.001943027783
167	0.00194302736
168	0.00194302736
169	0.001943019481
170	0.001943019481
171	0.001943017684
172	0.001943003594
173	0.001942983594
174	0.001942967693
175	0.001942956647
176	0.001942941849
177	0.00194292073
178	0.001942910567
179	0.00194290438
180	0.001942882823
181	0.001942860902
182	0.00194285642
183	0.001942832877
184	0.001942829104
185	0.001942826372
186	0.00194282335
187	0.001942819583
188	0.001942799625
189	0.001942777604
190	0.001942766289
191	0.001942761858
192	0.001942762332
193	0.001942758524
194	0.001942756104
195	0.001942758869
196	0.001942756876
197	0.001942744944
198	0.001942739619
199	0.001942697793
200	0.00194268646
201	0.001942675762
202	0.001942669674
203	0.001942665152
204	0.001942621812
205	0.001942620969
206	0.00194261539
207	0.001942612148
208	0.001942605139
209	0.001942594561
210	0.001942585685
211	0.001942544208
212	0.001942535044
213	0.001942525485
214	0.001942523068
215	0.001942522335
216	0.001942520869
217	0.001942520866
218	0.001942519036
219	0.001942519126
220	0.001942455048
221	0.00194245186
222	0.001942450376
223	0.001942443262
224	0.001942440503
225	0.001942429582
226	0.001942370156
227	0.001942364604
228	0.001942358492
229	0.001942356776
230	0.00194233448
231	0.001942329134
232	0.001942323976
233	0.001942318346
234	0.001942311835
235	0.001942306639
236	0.00194230239
237	0.001942296746
238	0.001942293519
239	0.001942288036
240	0.001942277323
241	0.001942230279
242	0.001942220602
243	0.001942209705
244	0.001942208936
245	0.001942206347
246	0.001942203227
247	0.001942198974
248	0.001942179817
249	0.001942177025
250	0.001942174868
251	0.001942171685
252	0.001942171125
253	0.001942167758
254	0.001942165043
255	0.001942162462
256	0.001942122231
257	0.001942122175
258	0.001942111
259	0.00194209267
260	0.00194208382
261	0.00194207435
262	0.001942066578
263	0.001942055341
264	0.001942050161
265	0.001942046499
266	0.001942042536
267	0.001941986258
268	0.001941980643
269	0.0019419757
270	0.001941975339
271	0.001941974463
272	0.001941974067
273	0.001941971614
274	0.001941970214
275	0.001941968029
276	0.001941967043
277	0.001941966286
278	0.0019419581
279	0.001941949
280	0.001941928715
281	0.001941920419
282	0.001941909891
283	0.001941901878
284	0.001941892527
285	0.001941890903
286	0.001941891275
287	0.001941889067
288	0.001941886701
289	0.001941887392
290	0.001941884699
291	0.00194188272
292	0.001941882788
293	0.001941811359
294	0.001941808332
295	0.001941800846
296	0.001941789442
297	0.001941736927
298	0.001941727707
299	0.001941723788
300	0.001941718022
301	0.00194171472
302	0.001941678046
303	0.00194166913
304	0.001941666043
305	0.001941662023
306	0.001941657127
307	0.001941651405
308	0.001941648396
309	0.001941606092
310	0.001941595644
311	0.001941591684
312	0.001941542515
313	0.001941523626
314	0.001941523468
315	0.001941519461
316	0.00194151654
317	0.001941513891
318	0.001941512127
319	0.001941511504
320	0.001941508197
321	0.0019415073
322	0.001941456024
323	0.001941423804
324	0.001941415111
325	0.001941408722
326	0.001941397122
327	0.001941394511
328	0.001941387157
329	0.001941383456
330	0.001941379531
